                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.60365,                0.48638,                 1.0358,                 0.9221,                0.86148,                0.93651,                0.77184,                 0.8932,                0.55046,                  1.364,             0.00093238,             0.00093238,             0.00093238
                     79,                0.59135,                0.46634,                 1.0309,                0.91425,                0.86451,                0.93277,                0.76575,                0.92877,                0.58311,                 1.4962,             0.00092825,             0.00092825,             0.00092825
                     80,                0.59966,                0.48202,                 1.0396,                0.93483,                0.89236,                0.95093,                0.77413,                0.97661,                0.53281,                 1.5018,             0.00092413,             0.00092413,             0.00092413
                     81,                0.58376,                 0.4648,                 1.0357,                0.91407,                0.88145,                0.94235,                0.77646,                 0.7385,                0.50666,                 1.1779,                0.00092,                0.00092,                0.00092
                     82,                0.60434,                0.48098,                 1.0391,                0.91185,                0.84375,                0.92414,                 0.7558,                0.87351,                0.75643,                 1.2661,             0.00091588,             0.00091588,             0.00091588
                     83,                0.59804,                0.48295,                 1.0347,                0.91901,                 0.9017,                0.94849,                0.77117,                0.80248,                0.59735,                 1.2188,             0.00091175,             0.00091175,             0.00091175
                     84,                0.58867,                0.48744,                 1.0325,                 0.8833,                0.91108,                 0.9464,                0.77075,                 0.8658,                0.53613,                 1.3849,             0.00090763,             0.00090763,             0.00090763
                     85,                 0.6027,                0.46685,                  1.038,                0.93783,                0.87754,                0.94227,                0.78199,                0.85992,                0.53986,                 1.3877,              0.0009035,              0.0009035,              0.0009035
                     86,                0.58492,                0.47259,                 1.0265,                0.92418,                0.88845,                0.93806,                0.77091,                0.92743,                0.57756,                 1.4765,             0.00089938,             0.00089938,             0.00089938
                     87,                0.58782,                0.47464,                 1.0355,                0.92114,                0.87604,                0.94026,                0.76818,                0.81096,                0.57665,                 1.2867,             0.00089525,             0.00089525,             0.00089525
                     88,                0.59233,                0.48038,                 1.0372,                0.90916,                0.88905,                0.93841,                0.77586,                0.81178,                0.50627,                  1.315,             0.00089112,             0.00089112,             0.00089112
                     89,                0.58679,                0.48819,                 1.0291,                0.94861,                0.84674,                0.94402,                 0.7799,                0.88061,                0.60318,                 1.3419,               0.000887,               0.000887,               0.000887
                     90,                0.58371,                0.47592,                 1.0219,                0.93615,                0.85967,                0.93739,                0.76741,                0.89216,                0.61158,                 1.3133,             0.00088288,             0.00088288,             0.00088288
                     91,                0.58928,                 0.4738,                  1.027,                0.94293,                0.89517,                0.94826,                0.78247,                0.85632,                0.57046,                 1.2812,             0.00087875,             0.00087875,             0.00087875
                     92,                0.56714,                0.46294,                  1.023,                0.92401,                0.86065,                0.92664,                0.77587,                0.88102,                0.60829,                 1.3716,             0.00087462,             0.00087462,             0.00087462
                     93,                0.56604,                0.45107,                 1.0237,                0.91624,                0.88087,                0.92822,                0.76381,                0.89939,                0.55492,                 1.3599,              0.0008705,              0.0008705,              0.0008705
                     94,                0.56496,                0.44379,                 1.0183,                0.91128,                0.86392,                 0.9251,                0.75595,                0.91097,                 0.5765,                 1.4021,             0.00086637,             0.00086637,             0.00086637
                     95,                0.57134,                0.45807,                 1.0223,                 0.9398,                0.87067,                0.93991,                0.77034,                0.89468,                0.54681,                 1.3561,             0.00086225,             0.00086225,             0.00086225
                     96,                0.56647,                0.45468,                 1.0152,                0.94142,                 0.8436,                 0.9384,                0.77137,                0.89777,                0.57576,                 1.3201,             0.00085813,             0.00085813,             0.00085813
                     97,                0.57452,                0.45112,                 1.0224,                0.94271,                0.85088,                0.93804,                0.77028,                0.89534,                0.51943,                 1.3355,               0.000854,               0.000854,               0.000854
                     98,                 0.5648,                 0.4432,                 1.0213,                0.92615,                0.88906,                  0.937,                0.77263,                 0.8231,                0.53496,                 1.2493,             0.00084988,             0.00084988,             0.00084988
                     99,                0.54711,                0.43159,                 1.0096,                0.93426,                0.88329,                0.94799,                0.78087,                0.87349,                0.51732,                 1.3465,             0.00084575,             0.00084575,             0.00084575
                    100,                0.56074,                0.45008,                 1.0169,                0.89435,                0.87454,                0.93006,                0.77608,                  0.931,                0.55215,                 1.4651,             0.00084162,             0.00084162,             0.00084162
                    101,                0.56299,                0.44544,                 1.0203,                0.92242,                0.90613,                0.94702,                0.78396,                0.91808,                0.53355,                 1.3366,              0.0008375,              0.0008375,              0.0008375
                    102,                0.56441,                0.44329,                 1.0217,                0.96204,                0.86831,                0.94397,                0.78382,                 0.7756,                0.69449,                 1.1822,             0.00083337,             0.00083337,             0.00083337
                    103,                 0.5614,                0.43724,                 1.0174,                0.93687,                0.90688,                0.94713,                0.78279,                0.93039,                0.61355,                 1.4086,             0.00082925,             0.00082925,             0.00082925
                    104,                0.55071,                0.43295,                 1.0048,                0.93036,                 0.8761,                0.93655,                0.78074,                0.83977,                0.50218,                 1.4005,             0.00082513,             0.00082513,             0.00082513
                    105,                0.55172,                0.44239,                 1.0067,                0.92967,                0.85752,                0.93621,                0.77851,                 0.8248,                0.51826,                 1.2693,               0.000821,               0.000821,               0.000821
                    106,                0.55071,                0.42754,                 1.0169,                 0.9315,                0.88612,                0.95157,                0.78576,                0.81527,                0.48729,                 1.3749,             0.00081688,             0.00081688,             0.00081688
                    107,                 0.5571,                0.43468,                 1.0143,                0.94624,                0.86019,                 0.9479,                 0.7816,                0.81953,                0.49325,                 1.3783,             0.00081275,             0.00081275,             0.00081275
                    108,                0.54136,                0.42789,                 1.0073,                0.94871,                0.87713,                0.93831,                0.77485,                0.80391,                0.53016,                 1.2954,             0.00080863,             0.00080863,             0.00080863
                    109,                0.54896,                0.43337,                 1.0072,                0.93107,                0.89789,                0.94143,                0.77718,                 0.9478,                0.55858,                  1.415,              0.0008045,              0.0008045,              0.0008045
                    110,                0.55043,                0.43851,                 1.0135,                0.90754,                0.91576,                0.94596,                0.79284,                0.76075,                0.48335,                 1.2437,             0.00080038,             0.00080038,             0.00080038
                    111,                0.54812,                0.41636,                 1.0049,                 0.9206,                0.88174,                0.94029,                0.77451,                0.87216,                0.61197,                 1.3131,             0.00079625,             0.00079625,             0.00079625
                    112,                0.54965,                0.43772,                 1.0145,                0.91668,                  0.871,                0.94575,                0.78284,                0.91832,                0.55921,                 1.3954,             0.00079213,             0.00079213,             0.00079213
                    113,                0.55461,                 0.4283,                 1.0114,                 0.9046,                0.90668,                0.94709,                0.79514,                0.86679,                0.50913,                 1.3158,               0.000788,               0.000788,               0.000788
                    114,                0.56344,                0.42813,                 1.0124,                 0.9258,                0.87722,                0.93661,                0.78163,                0.75255,                0.55579,                 1.1905,             0.00078387,             0.00078387,             0.00078387
                    115,                0.54798,                0.42344,                 1.0062,                0.94012,                0.88557,                0.94989,                0.79612,                0.87734,                0.55163,                 1.2704,             0.00077975,             0.00077975,             0.00077975
                    116,                0.53834,                0.42427,                 1.0015,                0.95127,                0.87835,                0.95391,                0.79621,                0.74568,                0.48804,                 1.1745,             0.00077563,             0.00077563,             0.00077563
                    117,                0.53708,                0.40992,                 1.0032,                0.93588,                0.89918,                0.94501,                0.79144,                 0.8186,                0.49988,                  1.283,              0.0007715,              0.0007715,              0.0007715
                    118,                0.53933,                0.42273,                 1.0039,                0.94239,                0.90184,                0.94541,                0.79061,                0.76545,                0.53322,                 1.2537,             0.00076738,             0.00076738,             0.00076738
                    119,                   0.54,                0.43088,                 1.0047,                0.93747,                0.88029,                0.93568,                0.78844,                0.83252,                0.50197,                 1.3178,             0.00076325,             0.00076325,             0.00076325
                    120,                0.53787,                0.42129,                 1.0033,                0.95136,                0.86805,                0.93571,                0.77692,                 0.7997,                0.47294,                 1.3048,             0.00075912,             0.00075912,             0.00075912
                    121,                0.52838,                0.41389,                 1.0002,                0.93402,                 0.8955,                0.94535,                0.78072,                0.89528,                0.50545,                  1.409,               0.000755,               0.000755,               0.000755
                    122,                 0.5223,                0.39539,                0.99721,                0.92832,                0.89829,                0.94134,                0.78796,                0.81663,                0.48977,                 1.3555,             0.00075088,             0.00075088,             0.00075088
                    123,                0.53673,                0.41703,                 1.0008,                0.94161,                0.87779,                0.94699,                0.78737,                 0.9265,                0.54535,                 1.4107,             0.00074675,             0.00074675,             0.00074675
                    124,                 0.5338,                0.42144,                 1.0046,                0.92145,                0.89528,                0.94236,                 0.7835,                0.81913,                0.58899,                 1.2345,             0.00074263,             0.00074263,             0.00074263
                    125,                0.51867,                0.40038,                0.99324,                0.92061,                0.89835,                0.94726,                0.78662,                0.91522,                0.58665,                   1.39,              0.0007385,              0.0007385,              0.0007385
                    126,                0.52464,                0.40386,                  1.003,                0.93474,                0.91672,                0.96162,                0.79829,                0.85476,                0.45522,                 1.3665,             0.00073437,             0.00073437,             0.00073437
                    127,                0.52962,                0.40837,                 1.0015,                0.92601,                0.91595,                0.94829,                0.79733,                0.80261,                0.47629,                 1.2669,             0.00073025,             0.00073025,             0.00073025
                    128,                 0.5233,                0.41411,                 1.0008,                0.93365,                0.87538,                0.93478,                0.78399,                0.95528,                0.52178,                 1.4641,             0.00072612,             0.00072612,             0.00072612
                    129,                0.52025,                0.40275,                0.99401,                0.95802,                0.89895,                0.95468,                0.79222,                0.89833,                0.50727,                 1.3481,               0.000722,               0.000722,               0.000722
                    130,                0.52017,                0.40412,                0.99505,                0.93344,                0.91473,                0.95197,                0.80208,                0.88011,                0.53499,                 1.3807,             0.00071788,             0.00071788,             0.00071788
                    131,                0.52176,                0.39478,                 0.9927,                0.94267,                0.86224,                0.93822,                0.79096,                0.74898,                0.59432,                 1.2179,             0.00071375,             0.00071375,             0.00071375
                    132,                 0.5267,                0.40562,                 1.0033,                 0.9658,                 0.8718,                0.94234,                 0.7846,                0.89226,                0.59062,                 1.3618,             0.00070962,             0.00070962,             0.00070962
                    133,                0.52282,                0.39596,                0.99415,                0.94338,                0.88628,                0.94424,                0.79045,                 0.8563,                0.52893,                 1.3423,              0.0007055,              0.0007055,              0.0007055
                    134,                0.51906,                0.40242,                0.99872,                0.95323,                0.89119,                0.94719,                 0.7904,                0.90005,                0.51291,                 1.4146,             0.00070137,             0.00070137,             0.00070137
                    135,                0.51968,                0.40465,                 1.0005,                0.94119,                0.87528,                0.95037,                0.78837,                0.88171,                0.51816,                 1.4033,             0.00069725,             0.00069725,             0.00069725
                    136,                0.51151,                0.39434,                 1.0006,                 0.9609,                 0.8843,                0.95907,                0.80417,                0.89349,                0.49761,                  1.397,             0.00069313,             0.00069313,             0.00069313
                    137,                0.51639,                0.39451,                0.99534,                0.95462,                0.89699,                 0.9517,                0.78641,                0.86659,                0.52561,                 1.3014,               0.000689,               0.000689,               0.000689
                    138,                0.51119,                0.39328,                0.99258,                0.95358,                0.85656,                0.93575,                   0.78,                0.83188,                0.56258,                 1.3278,             0.00068488,             0.00068488,             0.00068488
                    139,                0.51268,                0.38917,                0.98753,                0.96232,                0.87111,                0.94197,                0.78808,                0.87745,                0.49721,                 1.4064,             0.00068075,             0.00068075,             0.00068075
                    140,                0.50059,                0.39441,                0.98633,                0.96508,                0.87923,                0.95302,                0.80121,                0.89283,                0.49868,                 1.4679,             0.00067663,             0.00067663,             0.00067663
                    141,                0.50758,                0.39542,                0.98975,                0.94918,                0.88293,                0.94381,                0.79428,                0.90447,                0.56237,                 1.4148,              0.0006725,              0.0006725,              0.0006725
                    142,                 0.4999,                 0.3832,                0.98227,                0.92843,                0.91359,                0.94723,                 0.7986,                0.89877,                 0.4984,                 1.3758,             0.00066838,             0.00066838,             0.00066838
                    143,                0.49981,                0.38209,                0.98551,                0.94014,                0.88307,                0.94428,                0.79898,                0.77075,                0.54218,                 1.2039,             0.00066425,             0.00066425,             0.00066425
                    144,                0.51235,                0.39062,                0.98687,                0.97252,                0.89999,                0.95039,                0.78733,                0.86441,                0.47974,                 1.3853,             0.00066013,             0.00066013,             0.00066013
                    145,                0.50423,                0.38686,                0.97938,                   0.92,                0.89629,                0.94205,                 0.7853,                0.85173,                0.50579,                 1.3149,               0.000656,               0.000656,               0.000656
                    146,                0.50674,                0.38159,                0.98265,                0.94706,                0.89688,                0.94749,                0.80102,                0.86365,                0.49674,                 1.3257,             0.00065188,             0.00065188,             0.00065188
                    147,                0.50506,                0.38909,                0.98286,                0.91973,                0.89391,                0.94668,                0.79556,                0.86307,                 0.5469,                 1.3413,             0.00064775,             0.00064775,             0.00064775
                    148,                0.51027,                0.38201,                0.98821,                0.91848,                0.91959,                0.94803,                0.80107,                 0.9122,                0.51095,                 1.4195,             0.00064362,             0.00064362,             0.00064362
                    149,                0.49399,                0.38441,                0.98559,                0.93741,                0.88625,                0.94555,                0.79429,                0.89783,                0.50636,                  1.405,              0.0006395,              0.0006395,              0.0006395
                    150,                0.50357,                0.38048,                0.98623,                 0.9218,                0.89666,                0.93805,                0.78741,                0.86055,                0.52443,                 1.3866,             0.00063538,             0.00063538,             0.00063538
                    151,                0.49728,                 0.3775,                0.98331,                0.95795,                0.87771,                0.94418,                0.79415,                0.79923,                0.50866,                 1.3017,             0.00063125,             0.00063125,             0.00063125
                    152,                0.49668,                0.38083,                0.98159,                0.96192,                0.88359,                0.95106,                0.80067,                0.91075,                0.51841,                 1.4473,             0.00062713,             0.00062713,             0.00062713
                    153,                0.48914,                  0.374,                0.98194,                 0.9298,                0.88478,                0.93749,                0.78811,                0.86914,                 0.5271,                 1.3763,               0.000623,               0.000623,               0.000623
                    154,                0.50175,                0.38197,                0.98768,                0.91275,                0.90452,                0.94255,                0.79115,                0.82914,                0.48312,                 1.2973,             0.00061887,             0.00061887,             0.00061887
                    155,                0.49065,                0.37143,                0.97383,                0.94776,                0.87915,                 0.9434,                 0.7906,                 0.8554,                0.51772,                 1.2996,             0.00061475,             0.00061475,             0.00061475
